Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Dirlic Petar,16,38,65.0,18.0,47.0,1.0,10.0,3.0,-19.0,,,,,,,104.0,8.0,2.0,57.0,548.0,47.0,7.0,18.0,,2024/2025,MC
Gargiulo Giovanni Maria,21,64,88.0,25.0,205.0,8.0,14.0,12.0,-3.0,17.0,3.0,8.0,1.0,59.0,-12.0,100.0,8.0,7.0,64.0,640.0,56.0,16.0,25.0,,2024/2025,MC
Hossein Khanzadeh Poriya,22,53,29.0,17.0,80.0,11.0,28.0,21.0,-21.0,52.0,8.0,26.0,7.0,135.0,-2.0,37.0,3.0,7.0,15.0,405.0,32.0,3.0,6.0,,2024/2025,MC
Lagumdzija Adis,21,71,267.0,93.0,284.0,31.0,48.0,44.0,-6.0,9.0,2.0,4.0,,,-22.0,439.0,24.0,20.0,215.0,490.0,44.0,21.0,30.0,,2024/2025,MC
Loeppky Eric,21,68,163.0,56.0,197.0,13.0,51.0,19.0,-19.0,280.0,33.0,131.0,54.0,193.0,7.0,307.0,18.0,22.0,133.0,433.0,37.0,17.0,25.0,,2024/2025,MC
Nikolov Aleksandar,17,54,160.0,50.0,160.0,10.0,37.0,19.0,-17.0,197.0,19.0,99.0,46.0,234.0,14.0,298.0,28.0,30.0,141.0,473.0,38.0,9.0,17.0,,2024/2025,MC
Orduna Santiago,15,35,,,15.0,,1.0,,-7.0,2.0,,2.0,,,,,,,,,,,,,2024/2025,MC
Podrascanin Marko,17,53,92.0,41.0,152.0,7.0,18.0,13.0,-7.0,11.0,,3.0,5.0,455.0,45.0,86.0,4.0,5.0,51.0,593.0,55.0,34.0,64.0,,2024/2025,MC
Tenorio Davi,5,10,8.0,2.0,19.0,,6.0,,-32.0,2.0,,1.0,1.0,500.0,50.0,12.0,,2.0,6.0,500.0,50.0,2.0,20.0,,2024/2025,MC
Team Totals,22,81,1343.0,492.0,1845.0,126.0,390.0,156.0,-14.0,1407.0,115.0,643.0,336.0,239.0,16.0,1993.0,129.0,138.0,1024.0,514.0,45.0,193.0,238.0,,2024/2025,MC
Anzani Simone,21,74,77.0,35.0,228.0,6.0,9.0,8.0,-1.0,24.0,3.0,7.0,7.0,292.0,17.0,88.0,3.0,10.0,45.0,511.0,48.0,26.0,35.0,,2023/2024,MC
Balaso Fabio,21,81,,,,,,,,357.0,30.0,142.0,106.0,297.0,21.0,,,,,,,,,,2023/2024,MC
Bisotto Francesco,9,20,,,,,,,,24.0,3.0,13.0,3.0,125.0,,,,,,,,,,,2023/2024,MC
Bottolo Mattia,20,52,88.0,28.0,116.0,5.0,36.0,10.0,-27.0,186.0,18.0,76.0,57.0,306.0,21.0,155.0,6.0,13.0,72.0,465.0,43.0,11.0,21.0,,2023/2024,MC
Chinenyeze Barthelemy,21,78,186.0,46.0,215.0,14.0,49.0,18.0,-16.0,22.0,3.0,11.0,1.0,45.0,-9.0,211.0,5.0,15.0,144.0,682.0,66.0,28.0,36.0,,2023/2024,MC
De Cecco Luciano,22,84,29.0,16.0,302.0,5.0,15.0,6.0,-3.0,7.0,1.0,6.0,,,-14.0,34.0,2.0,1.0,13.0,382.0,32.0,11.0,13.0,,2023/2024,MC
Diamantini Enrico,20,52,54.0,18.0,95.0,1.0,4.0,2.0,-3.0,7.0,,3.0,3.0,429.0,43.0,60.0,4.0,4.0,40.0,667.0,60.0,13.0,25.0,,2023/2024,MC
Lagumdzija Adis,22,84,352.0,137.0,349.0,33.0,60.0,39.0,-8.0,10.0,2.0,6.0,1.0,100.0,-10.0,624.0,53.0,43.0,284.0,455.0,37.0,35.0,42.0,,2023/2024,MC
Larizza Jacopo,7,10,1.0,,1.0,,,,,,,,,,,2.0,,,1.0,500.0,50.0,,,,2023/2024,MC
Motzo Matheus,16,38,6.0,3.0,54.0,3.0,15.0,8.0,-22.0,,,,,,,6.0,2.0,1.0,3.0,500.0,17.0,,,,2023/2024,MC
Nikolov Aleksandar,22,75,283.0,107.0,248.0,24.0,58.0,32.0,-14.0,395.0,39.0,163.0,109.0,276.0,18.0,479.0,29.0,33.0,241.0,503.0,44.0,18.0,24.0,,2023/2024,MC
Thelle Jakob Solgaard,9,11,2.0,2.0,12.0,2.0,2.0,18.0,,,,,,,,,,,,,,,,,2023/2024,MC
Yant Herrera Marlon,19,58,101.0,37.0,107.0,5.0,28.0,9.0,-21.0,206.0,19.0,111.0,45.0,218.0,13.0,199.0,15.0,17.0,85.0,427.0,35.0,11.0,19.0,,2023/2024,MC
Zaytsev Ivan,16,57,142.0,50.0,170.0,11.0,38.0,19.0,-16.0,261.0,27.0,113.0,60.0,230.0,13.0,291.0,22.0,23.0,115.0,395.0,32.0,16.0,28.0,,2023/2024,MC
Team Totals,22,84,1321.0,479.0,1897.0,109.0,314.0,130.0,-11.0,1499.0,145.0,651.0,392.0,262.0,16.0,2149.0,141.0,160.0,1043.0,485.0,42.0,169.0,201.0,,2023/2024,MC
Ambrose Ionut,1,1,,,,,,,,,,,,,,,,,,,,,,,2022/2023,MC
Anzani Simone,21,69,79.0,26.0,228.0,2.0,11.0,3.0,-4.0,18.0,3.0,6.0,5.0,278.0,11.0,96.0,2.0,10.0,52.0,542.0,52.0,25.0,36.0,,2022/2023,MC
Balaso Fabio,22,82,,,,,,,,366.0,26.0,164.0,92.0,251.0,18.0,,,,,,,,,,2022/2023,MC
Bottolo Mattia,22,71,183.0,76.0,210.0,25.0,52.0,35.0,-13.0,277.0,28.0,118.0,61.0,220.0,12.0,275.0,19.0,27.0,141.0,513.0,44.0,17.0,24.0,,2022/2023,MC
Chinenyeze Barthelemy,22,79,170.0,36.0,218.0,2.0,24.0,3.0,-10.0,23.0,,8.0,8.0,348.0,35.0,218.0,12.0,13.0,143.0,656.0,60.0,25.0,32.0,,2022/2023,MC
D'Amico Francesco,21,68,,,,,,,,54.0,4.0,19.0,15.0,278.0,20.0,,,,,,,,,,2022/2023,MC
De Cecco Luciano,22,82,43.0,29.0,279.0,13.0,26.0,16.0,-5.0,10.0,1.0,9.0,,,-10.0,23.0,1.0,,13.0,565.0,52.0,17.0,21.0,,2022/2023,MC
Diamantini Enrico,15,41,32.0,11.0,89.0,3.0,6.0,7.0,-3.0,4.0,1.0,1.0,2.0,500.0,25.0,35.0,1.0,1.0,23.0,657.0,63.0,6.0,15.0,,2022/2023,MC
Garcia Fernandez Gabi,21,63,146.0,52.0,166.0,19.0,35.0,30.0,-10.0,2.0,2.0,,,,-100.0,270.0,29.0,22.0,121.0,448.0,34.0,6.0,10.0,,2022/2023,MC
