Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Rondoni Andrea,7,21,,,10.0,,1.0,,-10.0,79.0,10.0,41.0,12.0,152.0,3.0,,,,,,,,,,2019/2020,LT
Rossi Andrea,20,82,130.0,33.0,249.0,6.0,20.0,7.0,-6.0,20.0,3.0,8.0,4.0,200.0,5.0,176.0,15.0,11.0,101.0,574.0,49.0,23.0,28.0,,2019/2020,LT
Sottile Daniele,20,82,22.0,10.0,248.0,3.0,12.0,4.0,-4.0,9.0,2.0,7.0,,,-22.0,29.0,3.0,1.0,12.0,414.0,31.0,7.0,9.0,,2019/2020,LT
Szwarc Arthur,20,79,153.0,70.0,311.0,31.0,70.0,39.0,-13.0,13.0,1.0,4.0,2.0,154.0,8.0,146.0,5.0,12.0,87.0,596.0,56.0,35.0,44.0,,2019/2020,LT
Van Garderen Maarten,19,71,218.0,77.0,229.0,15.0,45.0,21.0,-13.0,420.0,35.0,188.0,101.0,240.0,16.0,402.0,43.0,32.0,186.0,463.0,36.0,17.0,24.0,,2019/2020,LT
Team Totals,20,82,1291.0,458.0,1796.0,110.0,309.0,134.0,-11.0,1577.0,154.0,715.0,355.0,225.0,13.0,2123.0,148.0,169.0,1033.0,487.0,42.0,148.0,180.0,,2019/2020,LT
Barone Rocco,24,81,60.0,19.0,182.0,4.0,22.0,5.0,-10.0,8.0,1.0,2.0,2.0,250.0,12.0,68.0,3.0,2.0,39.0,574.0,53.0,17.0,21.0,,2018/2019,LT
Caccioppola Louis,6,10,,,,,,,,,,,,,,,,,,,,,,,2018/2019,LT
Gavenda Filip,24,63,60.0,18.0,55.0,4.0,24.0,6.0,-36.0,,,,,,,104.0,9.0,17.0,49.0,471.0,38.0,7.0,11.0,,2018/2019,LT
Gitto Carmelo,26,92,162.0,55.0,251.0,9.0,35.0,10.0,-10.0,21.0,1.0,8.0,5.0,238.0,19.0,193.0,9.0,11.0,106.0,549.0,50.0,47.0,51.0,,2018/2019,LT
Huang Pei-Hung,24,59,3.0,2.0,59.0,1.0,4.0,2.0,-5.0,2.0,,2.0,,,,3.0,,,1.0,333.0,33.0,1.0,2.0,,2018/2019,LT
Ngapeth Swan,24,77,270.0,104.0,234.0,19.0,67.0,25.0,-21.0,433.0,43.0,184.0,95.0,219.0,12.0,529.0,37.0,40.0,230.0,435.0,36.0,21.0,27.0,,2018/2019,LT
Palacios Ezequiel,25,89,256.0,82.0,279.0,16.0,65.0,18.0,-18.0,652.0,31.0,324.0,135.0,207.0,16.0,525.0,35.0,39.0,224.0,427.0,36.0,16.0,18.0,,2018/2019,LT
Parodi Simone,23,81,143.0,54.0,125.0,3.0,31.0,4.0,-22.0,388.0,37.0,158.0,101.0,260.0,16.0,266.0,21.0,15.0,121.0,455.0,38.0,19.0,23.0,,2018/2019,LT
Rossi Andrea,25,86,134.0,38.0,293.0,8.0,23.0,9.0,-5.0,10.0,1.0,5.0,4.0,400.0,30.0,187.0,15.0,15.0,99.0,529.0,45.0,27.0,31.0,,2018/2019,LT
Santucci Facundo,10,40,,,,,,,,178.0,9.0,69.0,51.0,287.0,24.0,,,,,,,,,,2018/2019,LT
Sottile Daniele,26,98,39.0,20.0,314.0,8.0,18.0,8.0,-3.0,6.0,2.0,4.0,,,-33.0,51.0,5.0,6.0,21.0,412.0,31.0,10.0,10.0,,2018/2019,LT
Stern Toncek,26,96,361.0,94.0,340.0,33.0,83.0,34.0,-15.0,7.0,,5.0,1.0,143.0,14.0,735.0,65.0,79.0,311.0,423.0,33.0,17.0,18.0,,2018/2019,LT
Stern Ziga,12,22,24.0,8.0,32.0,2.0,5.0,9.0,-9.0,76.0,10.0,35.0,13.0,171.0,4.0,53.0,4.0,7.0,21.0,396.0,32.0,1.0,5.0,,2018/2019,LT
Tosi Federico,9,33,,,,,,,,146.0,16.0,62.0,35.0,240.0,13.0,,,,,,,,,,2018/2019,LT
Team Totals,26,99,1512.0,494.0,2164.0,107.0,377.0,108.0,-12.0,1927.0,151.0,858.0,442.0,229.0,15.0,2714.0,203.0,231.0,1222.0,450.0,38.0,183.0,185.0,,2018/2019,LT
Caccioppola Louis,1,2,,,,,,,,,,,,,,,,,,,,,,,2017/2018,LT
Corteggiani Jordan,17,24,33.0,8.0,36.0,2.0,15.0,8.0,-36.0,,,,,,,71.0,5.0,8.0,28.0,394.0,32.0,3.0,12.0,,2017/2018,LT
De Angelis Carlo,16,31,,,,,,,,42.0,6.0,18.0,10.0,238.0,10.0,,,,,,,,,,2017/2018,LT
Gitto Carmelo,25,79,97.0,30.0,181.0,3.0,20.0,4.0,-9.0,21.0,3.0,10.0,3.0,143.0,,125.0,8.0,9.0,68.0,544.0,48.0,26.0,33.0,,2017/2018,LT
Huang Pei-Hung,12,15,1.0,,8.0,,,,,,,,,,,2.0,,1.0,1.0,500.0,50.0,,,,2017/2018,LT
Ishikawa Yuki,17,51,136.0,41.0,140.0,12.0,47.0,24.0,-25.0,236.0,24.0,103.0,58.0,246.0,14.0,218.0,18.0,25.0,116.0,532.0,45.0,8.0,16.0,,2017/2018,LT
Kovac Jakub,2,2,,,1.0,,1.0,,-100.0,,,,,,,,,,,,,,,,2017/2018,LT
Le Goff Nicolas,24,89,98.0,35.0,206.0,5.0,16.0,6.0,-5.0,3.0,1.0,1.0,,,-33.0,123.0,5.0,11.0,67.0,545.0,50.0,26.0,29.0,,2017/2018,LT
Maruotti Gabriele,24,87,249.0,82.0,264.0,19.0,67.0,22.0,-18.0,588.0,59.0,212.0,190.0,323.0,22.0,500.0,25.0,56.0,214.0,428.0,38.0,16.0,18.0,,2017/2018,LT
Rossi Andrea,26,98,150.0,57.0,369.0,10.0,16.0,10.0,-2.0,15.0,2.0,6.0,4.0,267.0,13.0,184.0,10.0,12.0,92.0,500.0,45.0,48.0,49.0,,2017/2018,LT
Savani Cristian,25,94,294.0,97.0,304.0,20.0,102.0,21.0,-27.0,538.0,52.0,320.0,68.0,126.0,3.0,543.0,35.0,64.0,235.0,433.0,37.0,39.0,41.0,,2017/2018,LT
Shoji Erik Thomas,26,104,1.0,,,,,,,438.0,29.0,154.0,165.0,377.0,31.0,1.0,,,1.0,1000.0,100.0,,,,2017/2018,LT
Sottile Daniele,26,102,50.0,22.0,367.0,7.0,28.0,7.0,-6.0,9.0,3.0,5.0,1.0,111.0,-22.0,63.0,1.0,1.0,31.0,492.0,48.0,12.0,12.0,,2017/2018,LT
